Date,Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Species,2015TagInventory,PredatorData.PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,PredatorData.Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode,Checked,ID,PreyData.PredatorID,Inventory/Discarded,PreyID,Processing Date,Tech,NoPrey,ID_Common,ID_final_Mod,ID_final,ID_final_ITIS,Tax Group,Common Name,Characteristics Used,Total Mass (g),Total Mass (mg),Prey Mass (g),Prey Mass (mg),DigState,PreyData.Comments,Oto Cond - 1,Oto Cond - 2,Oto 1 Mass (mg),Oto 2 Mass (mg),Oto 1 L (mm),Oto 2 L (mm),Oto 1 H (mm),Oto 2 H (mm),Total L (mm),Total L (mm) - No Head,FL (mm),FL (mm) - No Head,Std L (mm),Std L (mm) - No Head,Head L (mm),PreySex,Carap L (mm),Carape W (mm),Abd L (mm),Abd W (mm),Rost L (mm),Prop L (mm) - L,Prop H (mm) - L,Prop L (mm) - R,Prop H (mm) - R,Prop L (mm) - U,Prop H (mm) - U,Mantle L (mm),Arm L (mm),Fin L (mm),Tent L (mm),BW (g),UHL,URL,UCL,UW (g),LHL,UJW,LCL,LW (g),Lens Diam 1 (mm),Lens Diam 2 (mm),Other Measurements,Vertebral Count,Pen L (mm)
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2,300,2,"skin, cod, salmon",PH,TRUE,279,31,78.7,787,94.220284,76-95,N,,5,1,,,3,fish vertebrae and bits of crab,,,,,,,,TRUE,227,279,TRUE,0279B,14-Jul-16,CB,3,Clams/Mussels/Snails,Mollusca,Cephalopoda,82326,Class,"Squid/Octopus, unidentified","lens (sectioned, small)",4.4,,0.01506,15.06,"2: < 5% remaining (beak, spines, otoliths)",cephalopod lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2,300,2,"skin, cod, salmon",PH,TRUE,279,31,78.7,787,94.220284,76-95,N,,5,1,,,3,fish vertebrae and bits of crab,,,,,,,,TRUE,226,279,TRUE,0279A,14-Jul-16,CB,3,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish bones,4.4,,2.34,,"2: < 5% remaining (beak, spines, otoliths)","misc. fish bones, lens, cleithrum, branchiostegal rays, 4 loose vertebrae, no otolith, no post cleithrum, no vert pattern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,,Matt,1,9,F,,Funter Bay,Y,2,350,4,"skin, salmon",PH,TRUE,280,31.5,80,800,95.739966,76-95,N,,,,,,2,fish bones,,,,,,,1,TRUE,818,280,TRUE,0280A,7-Sep-16,CB,1,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"large club-like post cleithrum, other bones",0.41,,0.41,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,FALSE,281,32.25,81.9,819,98.019489,96-115,N,,,,,,2,vertebrae,,,,,,,1,TRUE,1394,281,TRUE,0281B,12-Sep-16,CB,2,Benthic Material,Benthic Material,Rock,0,N/A,Rock,,1.85,,0.03,,"2: < 5% remaining (beak, spines, otoliths)",discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,FALSE,281,32.25,81.9,819,98.019489,96-115,N,,,,,,2,vertebrae,,,,,,,1,TRUE,884,281,TRUE,0281A,12-Sep-16,CB,2,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","vertebrae, misc. fish bones",1.85,,1.82,,"2: < 5% remaining (beak, spines, otoliths)","medium-large fish bones, rock (003g)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,2,3,B,,N. Lynn Canal,N,1.25,350,2,"skin, cod, salmon",PH,TRUE,282,33,83.8,838,100.299012,96-115,N,,6,0,,,2,fish bones and otolith,,,,,,,1,TRUE,522,282,TRUE,0282B,3-Aug-16,CB,2,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,24.43,,2.69,,3: 5-49% remaining (some muscle),"small fish with attached flesh, small otolith (2), oto #1 (H=035L)",excellent,good,23.38,17.79,7.83,6.69,2.77,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,2,3,B,,N. Lynn Canal,N,1.25,350,2,"skin, cod, salmon",PH,TRUE,282,33,83.8,838,100.299012,96-115,N,,6,0,,,2,fish bones and otolith,,,,,,,1,TRUE,521,282,TRUE,0282A,3-Aug-16,CB,2,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,24.43,,21.74,,"2: < 5% remaining (beak, spines, otoliths)","premaxilla (2), dentary, otolith (2), oto #1 (H= 035L), oto #2 (H=035L), subopercle, misc. bones",good,good,399.09,443.1,20.64,22.05,7.53,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.75,350,5,"skin, salmon",PH,TRUE,285,32.25,81.9,819,98.019489,96-115,N,,,,,,2,miscellaneous bones (and herring - previous bait?),,,,,No real DS,,1,TRUE,1384,285,TRUE,0285D,15-Oct-16,CB,4,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,H-shaped hemal arches,110.24,,1.15,,"2: < 5% remaining (beak, spines, otoliths)","vertebral column, anguloarticular (2), in with 0285C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.75,350,5,"skin, salmon",PH,TRUE,285,32.25,81.9,819,98.019489,96-115,N,,,,,,2,miscellaneous bones (and herring - previous bait?),,,,,No real DS,,1,TRUE,1383,285,TRUE,0285C,15-Oct-16,CB,4,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,H-shaped hemal arches,110.24,,5.78,,"2: < 5% remaining (beak, spines, otoliths)","vertebral column, anguloarticular (2), scales, in with 0285D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.75,350,5,"skin, salmon",PH,TRUE,285,32.25,81.9,819,98.019489,96-115,N,,,,,,2,miscellaneous bones (and herring - previous bait?),,,,,No real DS,,1,TRUE,1381,285,TRUE,0285A,15-Oct-16,CB,4,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,body morphology,110.24,,90.9,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)",full fish with skin and scales,,,,,,,,,253,,239,,221,,51.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.75,350,5,"skin, salmon",PH,TRUE,285,32.25,81.9,819,98.019489,96-115,N,,,,,,2,miscellaneous bones (and herring - previous bait?),,,,,No real DS,,1,TRUE,1382,285,TRUE,0285B,15-Oct-16,CB,4,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,club-like post cleithrum,110.24,,12.41,,"2: < 5% remaining (beak, spines, otoliths)","dentary, subopercle (2), post cleithrum, anguloarticular (2), vertebrae, branchiostegal rays, (pre)maxilla (2), otolith (2), misc. bones",fair,fair,128.47,162.22,15.63,16.19,5.75,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,N,2.75,300,4,"skin, cod",PH,TRUE,286,30.25,76.8,768,91.940761,76-95,N,,,,,,4,prawn,,,,,,,1,TRUE,697,286,TRUE,0286A,6-Sep-16,CB,1,Crabs/Shrimps,Crustacea,Caridea,96106,Infraorder,"Shrimp, unidentified",body morphology,1.23,,1.23,,"4: 50-74% remaining (body morph distinguishable, little/no skin, intact muscle)","too digested to ID, missing piece of head",,,,,,,,,68.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,FALSE,292,31,78.7,787,94.220284,76-95,N,,11,0,,,2,"trace, lens",,,,,,,1,TRUE,847,292,TRUE,0292A,8-Sep-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish lens,0.02,,0.02,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,,Matt,1,9,F,,Funter Bay,Y,2,350,4,"skin, salmon",PH,TRUE,293,33,83.8,838,100.299012,96-115,N,,,,,,2,"fish jaw, otolith, and other bones",,,,,,,1,TRUE,888,293,TRUE,0293A,12-Sep-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,2.2,,2.2,,"2: < 5% remaining (beak, spines, otoliths)","otolith condition good, dentary, premaxilla (2), maxilla, anguloarticular",good,,249.29,,17.34,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1)H=0.372L,,
6/22/15,6,22,2015,173,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,N,2.75,300,4,"skin, cod",PH,TRUE,295,34.25,87,870,104.098217,96-115,N,,,,,,2,cephalopod beak,,,,,,,1,TRUE,106,295,TRUE,0295A,26-May-16,SL,1,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified",beak shape,,71.37,0.07137,71.37,"2: < 5% remaining (beak, spines, otoliths)","squid beak (lower), measured on microbalance, missing both wings note weight,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,8.79,0.01548,,,,,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2,300,2,"skin, cod, salmon",ATF,FALSE,297,17.75,45.1,451,93.0509315,76-95,N,,,,,,3,vertebrae with some flesh,,,,,,,,TRUE,229,297,TRUE,0297A,14-Jul-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",vertebrae,1.19,,1.19,,3: 5-49% remaining (some muscle),"lens, vertebral column (complete with hypurals and ant portion), vert = 68 (24 caudal and 44 trunk)",,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2,300,2,"skin, cod, salmon",PH,TRUE,299,41,104.1,1041,124.613924,116-135,N,,,,,,3,fish skeleton with flesh attached,,,,,,,,TRUE,909,299,TRUE,0299A,12-Sep-16,CB,1,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"otolith shape, robust parapophyses, club-like post cleithrum",31.8,,31.8,,3: 5-49% remaining (some muscle),"otolith (2), Otolith  condition excellent, otolith (2) condition good, dentary, premaxilla (2), vertebral column w/flesh attached, cleithrum (2), lens (2), maxilla (2)",excellent,good,215.79,194.82,17.26,17.41,5.72,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1)H=0.331L,,
6/13/15,6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.5,350,4,"skin, cod, salmon, squid",ATF,TRUE,301,22.5,57.2,572,117.951885,116-135,N,,,,,,2,"one bone, two scales (inside for sure)",,,,,,,1,TRUE,552,301,TRUE,0301A,12-Aug-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","fish bones, scales",0.09,,0.09,,"2: < 5% remaining (beak, spines, otoliths)","maxilla, cycloid scales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.5,350,4,"skin, cod, salmon",PH,TRUE,302,32,81.3,813,97.259648,96-115,N,,,,,,2,lenses and fish bones,,,,,,,1,TRUE,701,302,TRUE,0302B,6-Sep-16,CB,2,Clams/Mussels/Snails,Mollusca,Cephalopoda,82326,Class,"Squid/Octopus, unidentified",cephalopod lens,1.27,,0.49,,"2: < 5% remaining (beak, spines, otoliths)",in with vial 0302A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,
7/5/15,7,5,2015,186,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.5,350,4,"skin, cod, salmon",PH,TRUE,302,32,81.3,813,97.259648,96-115,N,,,,,,2,lenses and fish bones,,,,,,,1,TRUE,700,302,TRUE,0302A,6-Sep-16,CB,2,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","cycloid scales, unattached flesh",1.27,,0.78,,"2: < 5% remaining (beak, spines, otoliths)",in with vial 0302B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/15,6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.5,350,4,"skin, cod, salmon, squid",PH,TRUE,307,32,81.3,813,97.259648,96-115,N,,,,,,2,"two beak parts, one lens, some muscle tissue",,,,,No real DS; picked up 6/17/15,,1,TRUE,112,307,TRUE,0307B,26-May-16,SL,2,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish scale,1.21,,0.0001,,"2: < 5% remaining (beak, spines, otoliths)","scale, found in lower beak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/15,6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.5,350,4,"skin, cod, salmon, squid",PH,TRUE,307,32,81.3,813,97.259648,96-115,N,,,,,,2,"two beak parts, one lens, some muscle tissue",,,,,No real DS; picked up 6/17/15,,1,TRUE,111,307,TRUE,0307A,26-May-16,SL,2,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified","beak shape, sectioned lens, tissue texture",1.21,,1.21,,"2: < 5% remaining (beak, spines, otoliths)","squid beak (upper and lower), misc. muscle tissue, 1 lens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,14.27,4.27,19.93,0.06,4.98,3.73,12.25,0.04,7.6,,,,
6/13/15,6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.5,350,4,"skin, cod, salmon, squid",PH,TRUE,308,30.5,77.5,775,92.700602,76-95,N,,,,,,5,octopus (in freezer),,,,,,,1,TRUE,26,308,TRUE,0308B,23-Apr-16,SL,2,Octopuses,Octopodidae,Enteroctopus dofleini,557227,Species,Giant Pacific Octopus,"E. dofleini based on distribution, same as 0308A",415.2,,104.2,,3: 5-49% remaining(some muscle),"octopus beak (upper and lower), beak and arms separate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,0.93,14.97,,31.76,0.55,9.11,,19.85,0.38,,,,,
6/13/15,6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.5,350,4,"skin, cod, salmon, squid",PH,TRUE,308,30.5,77.5,775,92.700602,76-95,N,,,,,,5,octopus (in freezer),,,,,,,1,TRUE,25,308,TRUE,0308A,23-Apr-16,SL,2,Octopuses,Octopodidae,Enteroctopus dofleini,557227,Species,Giant Pacific Octopus,"two suckers per row, web extends to tip (E. dofleini based on distribution)",415.2,,311,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)","arms slender towards ends (could have been stretched for measurements), upper beak broken (no crest measurement), beak tips white, pulled beak",,,,,,,,,490,,,,,,53.5,,,,,,,,,,,,,99,360,,,0.48,11.67,,,0.24,8.38,,17.34,0.24,,,,,
6/21/15,6,21,2015,172,Charter,Kiska Ann,Ben Huntley,2,13,G,,Icy Strait,Y,1,350,4,"skin, cod, pollock",PH,TRUE,309,30,76.2,762,91.18092,76-95,N,,,,,,2,trace fish bones,,,,,,,1,TRUE,612,309,TRUE,0309B,18-Aug-16,CB,2,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","dentary, maxilla",0.48,,0.14,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/15,6,21,2015,172,Charter,Kiska Ann,Ben Huntley,2,13,G,,Icy Strait,Y,1,350,4,"skin, cod, pollock",PH,TRUE,309,30,76.2,762,91.18092,76-95,N,,,,,,2,trace fish bones,,,,,,,1,TRUE,611,309,TRUE,0309A,18-Aug-16,CB,2,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","dentary, lens, other bones (vertebrae, etc.)",0.48,,0.34,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/15,7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1,300,4,"skin, cod, salmon",PH,TRUE,314,32.75,83.2,832,99.539171,96-115,N,,,,,,3,one cephalopod beak and one mostly digested fish,,,,,,,1,TRUE,1179,314,TRUE,0314B,21-Sep-16,CB,4,Other/Unidentified,Other,Other,8888888,N/A,Unidentified Organic Matter,see comments,32.75,,0.00858,8.58,"2: < 5% remaining (beak, spines, otoliths)","see pictoral on data sheet, in with 0314C and 0314D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/15,7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1,300,4,"skin, cod, salmon",PH,TRUE,314,32.75,83.2,832,99.539171,96-115,N,,,,,,3,one cephalopod beak and one mostly digested fish,,,,,,,1,TRUE,1178,314,TRUE,0314A,21-Sep-16,CB,4,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","vertebrae with flesh attached, loose chunk of flesh",32.75,,7.28,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/15,7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1,300,4,"skin, cod, salmon",PH,TRUE,314,32.75,83.2,832,99.539171,96-115,N,,,,,,3,one cephalopod beak and one mostly digested fish,,,,,,,1,TRUE,1181,314,TRUE,0314D,21-Sep-16,CB,4,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified",beak shape,32.75,,0.11,,"2: < 5% remaining (beak, spines, otoliths)","squid beak (lower), in with 0314B and 0314C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,14.68,0.11,,,,,
