Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Date,Species,2015TagInventory,PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode
,,,,Charter,Ho'okipa,Jon Wilson,,,,,,,,,,,,ATF,FALSE,0969,24.50,62.2,622,128.436497,116-135,,,,,,,,,,,,,Rite in the Rain only; no other info,,
,,,,Charter,Ho'okipa,Jon Wilson,,,,,,,,,,,,ATF,FALSE,0973,26.00,66.0,660,136.299956,>136,,,,,,,,,,,,,Rite in the Rain only; no other info,,
,,,,Charter,Ho'okipa,Jon Wilson,,,,,,,,,,,,ATF,FALSE,0926,26.25,66.7,667,137.6105325,>136,,,,,,,,,,,,,Rite in the Rain only; no other info,,
5,25,2015,145,Charter,Ho'okipa,Jon Wilson,2,9,F,,Funter Bay,Y,6.00,1600,2,"skin, cod",5/25/2015,ATF,TRUE,0490,24.00,61.0,610,125.815344,116-135,N,,,,,,1,empty,,,,,No real DS,,0
6,6,2015,157,Charter,Kiska Ann,Ben Huntley,2,11,G,,Icy Strait,Y,1.67,300,4,"skin, cod",6/6/2015,ATF,FALSE,0478,18.00,45.7,457,94.361508,76-95,N,,,,,,1,empty,,,,,No real DS,,0
6,11,2015,162,Charter,Kaley Y,Kenji Yamada,1,13,G,,Icy Strait,N,1.50,300,4,"skin, ATF",6/11/2015,ATF,TRUE,0850,25.50,64.8,648,133.678803,116-135,N,,0,0,,,,empty?,,,,,,,0
6,13,2015,164,Charter,Kiska Ann,Ben Huntley,1,8,E,,Howard Bay,Y,1.50,350,4,"skin, cod, salmon, squid",6/13/2015,ATF,TRUE,0301,22.50,57.2,572,117.951885,116-135,N,,,,,,2,"one bone, two scales (inside for sure)",,,,,,,1
6,18,2015,169,Charter,Ho'okipa,Jon Wilson,1,4,C,,Lynn Canal,Y,1.00,400,5,"skin, salmon",6/18/2015,ATF,TRUE,0467,21.00,53.3,533,110.088426,96-115,N,,,,,,1,empty,,,,,No real DS,,
6,18,2015,169,Charter,Ho'okipa,Jon Wilson,2,9,F,,Funter Bay,Y,3.83,350,4,"skin, cod",6/18/2015,ATF,TRUE,0468,21.25,54.0,540,111.3990025,96-115,N,,,,,,1,empty,,,,,No real DS,,0
6,18,2015,169,Charter,Ho'okipa,Jon Wilson,1,4,C,,Lynn Canal,Y,1.00,400,5,"skin, salmon",6/18/2015,ATF,TRUE,0457,21.50,54.6,546,112.709579,96-115,N,,,,,,1,empty,,,,,No real DS,,
6,18,2015,169,Charter,Ho'okipa,Jon Wilson,2,9,F,,Funter Bay,Y,3.83,350,4,"skin, cod",6/18/2015,ATF,TRUE,0463,22.75,57.8,578,119.2624615,116-135,N,,,,,,1,empty,,,,,No real DS,,0
6,18,2015,169,Charter,Ho'okipa,Jon Wilson,2,9,F,,Funter Bay,Y,3.83,350,4,"skin, cod",6/18/2015,ATF,TRUE,0471,23.00,58.4,584,120.573038,116-135,N,,,,,,1,empty,,,,,No real DS,,0
6,19,2015,170,Charter,Lokahi,Jason Helyer,1,9,F,,Funter Bay,N,0.95,375,4,"skin, ATF",6/19/2015,ATF,FALSE,0507,19.50,49.5,495,102.224967,96-115,N,,,,,,,,,,,,,,0
6,21,2015,172,Charter,Lokahi,Jason Helyer,1,11,G,,Icy Strait,N,1.23,275,,,6/21/2015,ATF,FALSE,U0028,21.00,53.3,533,110.088426,96-115,N,,,,,,,used as bait,,,,,,,
6,21,2015,172,Charter,Kaley Y,Kenji Yamada,1,4,C,,Lynn Canal,Y,5.75,1800,2,"skin, cod, salmon",6/21/2015,ATF,TRUE,0816,23.50,59.7,597,123.194191,116-135,N,,0,0,,,1,empty,,,,,No real DS,,
6,22,2015,173,Charter,Ho'okipa,Jon Wilson,1,11,G,,Icy Strait,N,2.00,300,4,"skin, cod",6/22/2015,ATF,TRUE,0410,19.75,50.2,502,103.5355435,96-115,N,,4,0,,,1,empty,,,,,,,0
6,23,2015,174,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,3.00,200,5,"skin, salmon, ATF",6/23/2015,ATF,TRUE,0828,22.25,56.5,565,116.6413085,116-135,N,,,,,,1,empty,,,,,No real DS,,0
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,FALSE,U02034,,,,,NA,N,,,,,,,used for bait,,,,,,,
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,TRUE,1050,19.75,50.2,502,103.5355435,96-115,N,,,,,,1,empty,could have been marked as PH,,,,,,0
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,TRUE,1048,21.00,53.3,533,110.088426,96-115,N,,,,,,1,empty,,,,,,,0
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,TRUE,1034,23.50,59.7,597,123.194191,116-135,N,,,,,,1,empty,,,,,,,0
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,TRUE,1030,24.25,61.6,616,127.1259205,116-135,N,,,,,,,,,,,,,,0
6,24,2015,175,Charter,Lokahi,Jason Helyer,1,8,E,,Howard Bay,Y,0.95,425,4,ATF,6/24/2015,ATF,TRUE,1036,26.50,67.3,673,138.921109,>136,N,,,,,,1,empty,,,,,,,0
6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.00,300,2,"skin, cod, salmon",6/25/2015,ATF,FALSE,0297,17.75,45.1,451,93.0509315,76-95,N,,,,,,3,vertebrae with some flesh,,,,,,,
6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.00,300,2,"skin, cod, salmon",6/25/2015,ATF,FALSE,0776,18.25,46.4,464,95.6720845,76-95,N,,,,,,1,empty,,,,,,,
6,26,2015,177,Charter,,Matt,1,3,B,,N. Lynn Canal,Y,4.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0702,18.25,46.4,464,95.6720845,76-95,N,,,,,,1,empty,,90.6,108.6,head frozen,,,0
6,26,2015,177,Charter,Kiska Ann,Ben Huntley,2,2,B,,N. Lynn Canal,Y,1.75,400,4,"skin, cod",6/26/2015,ATF,TRUE,0766,20.75,52.7,527,108.7778495,96-115,N,,,,,,5,whole shrimp,,,,,,,
6,26,2015,177,Charter,Kaley Y,Kenji Yamada,1,3,B,,N. Lynn Canal,Y,1.50,350,4,"skin, cod, salmon",6/26/2015,ATF,TRUE,0706,21.00,53.3,533,110.088426,96-115,N,,,,,,1,empty,,,,,,,0
6,26,2015,177,Charter,Ho'okipa,Jon Wilson,1,3,B,,N. Lynn Canal,Y,3.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0707,21.25,54.0,540,111.3990025,96-115,N,,,,,,1,empty,,105.7,116.7,head frozen,,,0
6,26,2015,177,Charter,Kaley Y,Kenji Yamada,1,3,B,,N. Lynn Canal,Y,1.50,350,4,"skin, cod, salmon",6/26/2015,ATF,TRUE,0710,21.50,54.6,546,112.709579,96-115,N,,,,,,2,"trace, arthropod bits, shrimp?",,,,,,,1
6,26,2015,177,Charter,Kaley Y,Kenji Yamada,1,3,B,,N. Lynn Canal,Y,1.50,350,4,"skin, cod, salmon",6/26/2015,ATF,TRUE,0712,22.00,55.9,559,115.330732,96-115,N,,,,,,1,empty,,,,,,,0
6,26,2015,177,Charter,Ho'okipa,Jon Wilson,1,3,B,,N. Lynn Canal,Y,3.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0722,22.00,55.9,559,115.330732,96-115,N,,,,,,1,empty,,126.6,129.3,head frozen,,,0
6,26,2015,177,Charter,Ho'okipa,Jon Wilson,1,3,B,,N. Lynn Canal,Y,3.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0720,22.25,56.5,565,116.6413085,116-135,N,,,,,,1,empty,,121,124.6,head frozen,,,0
6,26,2015,177,Charter,Ho'okipa,Jon Wilson,1,3,B,,N. Lynn Canal,Y,3.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0724,22.50,57.2,572,117.951885,116-135,N,,,,,,1,empty,,106.6,116.2,head frozen,,,0
6,26,2015,177,Charter,Ho'okipa,Jon Wilson,1,3,B,,N. Lynn Canal,Y,3.00,350,4,"skin, cod",6/26/2015,ATF,TRUE,0725,23.50,59.7,597,123.194191,116-135,N,,,,,,1,empty,,123.7,127.9,head frozen,,,0
6,27,2015,178,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.50,350,4,"skin, cod",6/27/2015,ATF,TRUE,0745,20.00,50.8,508,104.84612,96-115,N,,,,,,1,empty,,,,,,,0
6,27,2015,178,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.50,350,4,"skin, cod",6/27/2015,ATF,TRUE,0728,23.00,58.4,584,120.573038,116-135,N,,,,,,1,empty,,,,,,,0
6,29,2015,180,Charter,Lokahi,Jason Helyer,1,9,F,,Funter Bay,Y,2.75,385,4,"skin, salmon, ATF",6/29/2015,ATF,TRUE,0518,18.50,47.0,470,97.0033,96-115,N,,,,,,1,empty,,,,,,,0
6,30,2015,181,,,,,,,,,,,,,,6/30/2015,ATF,FALSE,1172B,11.81,30.0,300,61.917,<76,N,,,,,,1,empty,,,,head frozen (data not previously entered; marked as empty but a PC2); incorrect Tag ID,,,
6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,4,C,,Lynn Canal,,,400,,,6/30/2015,ATF,TRUE,1127,20.28,51.5,515,106.29085,96-115,N,,,0,2.65,1.20,2,bones,,100,104.1,head frozen,,,
6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,4,C,,Lynn Canal,,,400,,,6/30/2015,ATF,TRUE,1172A,22.83,58.0,580,119.7062,116-135,N,,,,,,2,"fleshy bits, otolith",dart tag assumed to be 1172A (not B),126.1,128.7,head frozen (actually empty?),,,
6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,4,C,,Lynn Canal,,,400,,,6/30/2015,ATF,FALSE,06301501,22.83,58.0,580,119.7062,116-135,N,,,,3.53,1.60,1,empty,,,,,,,
6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,4,C,,Lynn Canal,,,400,,,6/30/2015,ATF,TRUE,1168,23.62,60.0,600,123.834,116-135,N,,,,,,1,empty,,,,,,,
6,30,2015,181,Charter,Miley T,Brandon Rux,1,4,C,,Lynn Canal,N,1.17,400,3,"skin, cod, salmon",6/30/2015,ATF,FALSE,U0193,24.00,61.0,610,125.815344,116-135,N,,,,,,,,,,,,,,
6,30,2015,181,Charter,Kiska Ann,Ben Huntley,1,4,C,,Lynn Canal,Y,0.75,400,4,"skin, cod, salmon, ATF",6/30/2015,ATF,TRUE,0317,25.00,63.5,635,131.05765,116-135,N,,,,,,1,empty,,,,,,,
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,TRUE,1249,19.25,48.9,489,100.9143905,96-115,N,,0,0,,,4,fish,,,,,,,1
7,3,2015,184,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, cod",7/3/2015,ATF,TRUE,1242,20.75,52.7,527,108.7778495,96-115,N,,,,,,2,lens and some bones,,,,,,,1
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,TRUE,1247,21.50,54.6,546,112.709579,96-115,N,,,,,,1,empty,,,,,,,0
7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0378,22.75,57.8,578,119.2624615,116-135,N,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, cod",7/3/2015,ATF,FALSE,0423,23.75,60.3,603,124.5047675,116-135,N,,,,,,,,,,,,,,1
7,3,2015,184,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,Y,1.50,200,4,"skin, cod, salmon",7/3/2015,ATF,TRUE,1277,24.50,62.2,622,128.436497,116-135,N,,,,,,1,empty,,,,,,,0
7,3,2015,184,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, cod",7/3/2015,ATF,TRUE,1243,24.75,62.9,629,129.7470735,116-135,N,,,,,,2,one vertebra,,,,,,,1
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,TRUE,0898,20.75,52.7,527,108.7778495,96-115,N,,,,,,5,large squid (almost twice size of stomach!),,,,,,,1
7,5,2015,186,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.50,350,4,"skin, salmon",7/5/2015,ATF,TRUE,1580,21.25,54.0,540,111.3990025,96-115,N,,,,,,1,empty,,111.1,120.4,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,TRUE,0853,21.50,54.6,546,112.709579,96-115,N,,,,,,5,prawn,,,,,,,1
7,8,2015,189,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,1.25,350,4,"skin, salmon",7/8/2015,ATF,TRUE,1291,21.00,53.3,533,110.088426,96-115,N,,,,,,1,empty,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,TRUE,0304,21.75,55.2,552,114.0201555,96-115,N,,,,,,1,empty,,,,,,,0
7,8,2015,189,Charter,Miley T,Brandon Rux,1,9,F,,Funter Bay,N,2.00,350,4,"skin, cod, salmon",7/8/2015,ATF,TRUE,1235,23.75,60.3,603,124.5047675,116-135,N,,,,,,1,empty,,,,,,,0
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,TRUE,1414,23.75,60.3,603,124.5047675,116-135,N,,,,,,2,lens and bone,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1419,23.75,60.3,603,124.5047675,116-135,N,,,,,,,,,,,,,,
7,13,2015,194,Charter,,Wayne,1,4,C,,Lynn Canal,N,0.75,350,4,salmon,7/13/2015,ATF,TRUE,0255,26.50,67.3,673,138.921109,>136,N,,,,,,1,empty,,,,,,,
7,14,2015,195,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,0.86,375,4,salmon,7/14/2015,ATF,TRUE,0509,17.00,43.2,432,89.119202,76-95,N,,,,,,1,empty,,,,,,,
7,14,2015,195,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,0.86,375,4,salmon,7/14/2015,ATF,TRUE,0564,23.00,58.4,584,120.573038,116-135,N,,,,,,1,empty,,,,,,,
7,14,2015,195,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,0.86,375,4,salmon,7/14/2015,ATF,TRUE,0506,23.25,59.1,591,121.8836145,116-135,N,,,,,,1,empty,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,TRUE,1510,21.75,55.2,552,114.0201555,96-115,N,,,,,,4,fish (duplicate entry deleted),,,,,,,
7,17,2015,198,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,,0.67,350,3,"skin, salmon",7/17/2015,ATF,TRUE,1448,22.50,57.2,572,117.951885,116-135,N,,,,,,3,small fish,,,,,,,
7,19,2015,200,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,2.53,400,4,salmon,7/19/2015,ATF,FALSE,U02031,,,,,NA,N,,,,,,,,,,,,,,
7,19,2015,200,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,2.53,400,4,salmon,7/19/2015,ATF,TRUE,0561,21.50,54.6,546,112.709579,96-115,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,3.00,209,,,7/24/2015,ATF,TRUE,1389,18.70,47.5,475,98.03525,96-115,N,,,,2.20,1.00,2,two cephalopod beaks,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1391,18.90,48.0,480,99.0672,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,2.00,357,,,7/24/2015,ATF,TRUE,1325,19.29,49.0,490,101.1311,96-115,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,3.00,377,,,7/24/2015,ATF,TRUE,1362,20.67,52.5,525,108.35475,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1355,20.67,52.5,525,108.35475,96-115,N,,,,2.20,1.00,5,wee amphipod,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1360,20.87,53.0,530,109.3867,96-115,N,,,,4.41,2.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,1.00,398,,,7/24/2015,ATF,TRUE,1368,20.87,53.0,530,109.3867,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,1.00,398,,,7/24/2015,ATF,TRUE,1386,20.87,53.0,530,109.3867,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1388,21.26,54.0,540,111.4506,96-115,N,,,,4.41,2.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,1.00,276,,,7/24/2015,ATF,TRUE,1345,21.65,55.0,550,113.5145,96-115,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,2.00,357,,,7/24/2015,ATF,TRUE,1320,21.85,55.5,555,114.54645,96-115,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,2.00,357,,,7/24/2015,ATF,TRUE,1309,22.44,57.0,570,117.6423,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1366,22.83,58.0,580,119.7062,116-135,N,,,,4.41,2.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,2.00,357,,,7/24/2015,ATF,TRUE,1324,22.83,58.0,580,119.7062,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,2.00,263,,,7/24/2015,ATF,FALSE,U0001,22.83,58.0,580,119.7062,116-135,N,,,,,,,,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,1.00,276,,,7/24/2015,ATF,TRUE,1353,24.02,61.0,610,125.8979,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,1.00,398,,,7/24/2015,ATF,TRUE,1359,24.21,61.5,615,126.92985,116-135,N,,,,4.41,2.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,1.00,276,,,7/24/2015,ATF,TRUE,1350,24.80,63.0,630,130.0257,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,2.00,263,,,7/24/2015,ATF,TRUE,1372,25.20,64.0,640,132.0896,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,1.00,276,,,7/24/2015,ATF,TRUE,1375,25.20,64.0,640,132.0896,116-135,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,3.00,377,,,7/24/2015,ATF,TRUE,1380,25.20,64.0,640,132.0896,116-135,N,,,,6.61,3.00,3,shrimp,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1364,25.79,65.5,655,135.18545,116-135,N,,,,6.61,3.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,2.00,371,,,7/24/2015,ATF,TRUE,1377,26.57,67.5,675,139.31325,>136,N,,,,6.61,3.00,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,2.00,263,,,7/24/2015,ATF,TRUE,1329,26.77,68.0,680,140.3452,>136,N,,,,,,1,empty,,,,,,,
7,24,2015,205,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,3.00,377,,,7/24/2015,ATF,TRUE,1390,27.76,70.5,705,145.50495,>136,N,,,,8.82,4.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,6.00,280,,,7/25/2015,ATF,TRUE,1338,17.72,45.0,450,92.8755,76-95,N,,,,,,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,4.00,358,,,7/25/2015,ATF,TRUE,1392,19.29,49.0,490,101.1311,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,5.00,344,,,7/25/2015,ATF,TRUE,1321,19.88,50.5,505,104.22695,96-115,N,,,,2.20,1.00,2,scales,,,,,,,
7,25,2015,206,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,5.00,296,,,7/25/2015,ATF,TRUE,1398,20.08,51.0,510,105.2589,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - KAIA,3,0,H,,Chatham Strait,6,4.00,291,,,7/25/2015,ATF,TRUE,1365,20.08,51.0,510,105.2589,96-115,N,,,,,,2,Gadid? otolith,,,,,,,
7,25,2015,206,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,6.00,361,,,7/25/2015,ATF,TRUE,1313,20.47,52.0,520,107.3228,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,6.00,361,,,7/25/2015,ATF,TRUE,1315,20.47,52.0,520,107.3228,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,25,2015,206,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,2.25,375,4,salmon,7/25/2015,ATF,FALSE,U0203,21.00,53.3,533,110.088426,96-115,N,,,,,,4,"crab (large piece of salmon bait), no tag. Processed 8/7/15 (assigned this to charter info provided...not 100% sure the two are the same - used for bait)",,,,,,,
7,25,2015,206,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,6.00,263,,,7/25/2015,ATF,TRUE,1379,21.06,53.5,535,110.41865,96-115,N,,,,2.20,1.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - MASONIC,1,0,H,,Chatham Strait,6,4.00,358,,,7/25/2015,ATF,TRUE,1378,21.65,55.0,550,113.5145,96-115,N,,,,4.41,2.00,1,empty,,,,,,,
7,25,2015,206,Research,,ADFG - MAGIA,2,0,H,,Chatham Strait,6,6.00,361,,,7/25/2015,ATF,TRUE,1308,22.05,56.0,560,115.5784,96-115,N,,,,4.41,2.00,1,empty,,,,,,,
